title,year,universe,director,imdb_rating,rt_critics,rt_audience,metacritic,worldwide_box_office,runtime,release_date
Avengers: Endgame,2019,Marvel,"Anthony Russo, Joe Russo",8.4,94,90,78,2.798 mil millones USD,181 minutos,26 de abril de 2019
The Dark Knight,2008,DC,Christopher Nolan,9.0,94,94,84,1.005 mil millones USD,152 minutos,18 de julio de 2008
Spider-Man: Into the Spider-Verse,2018,Marvel,"Bob Persichetti, Peter Ramsey, Rodney Rothman",8.4,97,93,87,375.5 millones USD,117 minutos,14 de diciembre de 2018
Black Panther,2018,Marvel,Ryan Coogler,7.3,96,79,88,1.347 mil millones USD,134 minutos,16 de febrero de 2018
Wonder Woman,2017,DC,Patty Jenkins,7.4,93,83,76,821.8 millones USD,141 minutos,2 de junio de 2017
